spygen_code;pool;replicates;date
SPY201944;no;SPY201944/SPY201949;2020-06-07
SPY201945;no;SPY201282/SPY201287/SPY201945/SPY201946;2020-06-19
SPY201946;no;SPY201282/SPY201287/SPY201945/SPY201946;2020-06-19
SPY201947;no;SPY201947/SPY201948;2020-06-07
SPY201948;no;SPY201947/SPY201948;2020-06-07
SPY201949;no;SPY201944/SPY201949;2020-06-07
SPY201950;no;SPY201950/SPY201951;2020-06-19
SPY201951;no;SPY201950/SPY201951;2020-06-19
SPY201952;no;SPY201952/SPY210637;2021-07-29
SPY201953;no;SPY201953/SPY212768;2021-07-29
SPY201954;no;SPY201252/SPY201253/SPY201281/SPY201954;2020-06-26
SPY201955;no;SPY201285/SPY201955;2020-06-22
SPY201956;no;SPY201956/SPY201965;2021-05-25
SPY201957;no;SPY201957/SPY201964;2021-05-02
SPY201958;no;SPY201958/SPY210646;2021-05-08
SPY201959;no;no;2020-06-25
SPY201960;no;SPY201194/SPY201960;2020-07-20
SPY201961;no;SPY201961/SPY201962;2021-07-29
SPY201962;no;SPY201961/SPY201962;2021-07-29
SPY201963;no;SPY201963/SPY201966;2021-05-01
SPY201964;no;SPY201957/SPY201964;2021-05-02
SPY201965;no;SPY201956/SPY201965;2021-05-25
SPY201966;no;SPY201963/SPY201966;2021-05-01
SPY202491;no;SPY201174/SPY201181/SPY202491SPY202495;2020-07-22
SPY202492;no;SPY201176/SPY201179/SPY202492/SPY202499;2020-07-21
SPY202493;no;SPY201164/SPY202493;2020-07-30
SPY202494;no;SPY201171/SPY202494;2020-07-27
SPY202495;no;SPY201174/SPY201181/SPY202491SPY202495;2020-07-22
SPY202496;no;SPY201175/SPY201191/SPY202496/SPY202498;2020-07-21
SPY202498;no;SPY201175/SPY201191/SPY202496/SPY202498;2020-07-21
SPY202499;no;SPY201176/SPY201179/SPY202492/SPY202499;2020-07-21
SPY202500;no;SPY201187/SPY201192/SPY201198/SPY202500;2020-07-22
SPY202501;SPY202501_SPY211140;SPY202501_SPY211140/SPY211139_SPY211144;2021-07-27
SPY202505;no;SPY202505/SPY202519;2021-10-11
SPY202506;no;SPY201169/SPY202506;2020-07-31
SPY202509;no;SPY202509/SPY202514;2020-07-31
SPY202510;no;SPY202510/SPY202515;2020-07-30
SPY202514;no;SPY202509/SPY202514;2020-07-31
SPY202515;no;SPY202510/SPY202515;2020-07-30
